atco_code,name,easting,northing,longitude,latitude,stop_type
"9100STKNWNG","Stoke Newington Rail Station",533670,186910,-0.0728873514,51.5652327749,"RLY"
"9100STLEIGH","Stoneleigh Rail Station",522024,164159,-0.2486651377,51.3634006595,"RLY"
"9100STMFDHL","Stamford Hill Rail Station",533380,187930,-0.0766819228,51.5744673887,"RLY"
"9100STMGTS","St Margarets (London) Rail Station",516810,174255,-0.3202004228,51.4552360367,"RLY"
"9100STMRYC","St Mary Cray Rail Station",546640,168295,0.10638367579,51.3947493177,"RLY"
"9100STNBGPK","Stonebridge Park Rail Station",519660,184210,-0.2758283521,51.5441109953,"RLY"
"9100KEMSING","Kemsing Rail Station",556784,157738,0.24742842428,51.2971871472,"RLY"
"9100KENOLYM","Kensington (Olympia) Rail Station",524325,179180,-0.2103640608,51.4978988128,"RLY"
"9100KENR","Kensal Rise Rail Station",523560,183240,-0.2199570374,51.5345540038,"RLY"
"9100KENSLG","Kensal Green Rail Station",523215,182785,-0.2250875861,51.5305402045,"RLY"
"9100CATERHM","Caterham Rail Station",534120,155420,-0.0783070406,51.2821414938,"RLY"
"9100CATEZKX","Kings Cross Underground Station",530230,182930,-0.123960344,51.530270412,"RLY"
"9100CATFBDG","Catford Bridge Rail Station",537365,173600,-0.0247910932,51.4447407379,"RLY"
"9100CATFORD","Catford Rail Station",537260,173560,-0.0263165147,51.4444067233,"RLY"
"9100NEWMLDN","New Malden Rail Station",521410,168670,-0.2559395525,51.4040746169,"RLY"
"9100NEWPRTE","Newport (Essex) Rail Station",552231,233584,0.21514056898,51.9798695665,"RLY"
"9100HAYESAH","Hayes & Harlington Rail Station",509714,179422,-0.4206834761,51.5030956104,"RLY"
"9100SBDGWTH","Sawbridgeworth Rail Station",549019,215064,0.16041110454,51.8143478524,"RLY"
"9100BSHPSFD","Bishops Stortford Rail Station",549155,220894,0.16489419614,51.8666913821,"RLY"
"9100YALDING","Yalding Rail Station",568526,150241,0.41216418407,51.2264836864,"RLY"
"9100GORDONH","Gordon Hill Rail Station",531880,197780,-0.0946104309,51.6633351524,"RLY"
"9100IFIELD","Ifield Rail Station",525053,136663,-0.2147720775,51.115622899,"RLY"
"9100ILFENBP","Newbury Park Station",544906,188310,0.08968398069,51.5750397333,"RLY"
"9100ILFORD","Ilford Rail Station",543570,186500,0.0696795341,51.5591175291,"RLY"
"9100RAYLEGH","Rayleigh Rail Station",580207,191029,0.59998347987,51.5892932723,"RLY"
"9100RAYNSPK","Raynes Park Rail Station",523190,169280,-0.2301507749,51.4091734404,"RLY"
"9100RBRN","Ravensbourne Rail Station",538655,170235,-0.0075567429,51.4141883571,"RLY"
"9100RCHT","Rochester Rail Station",574517,168605,0.50685493421,51.3896520002,"RLY"
"9100RCKMNSW","Rickmansworth Rail Station",505745,194597,-0.4732824467,51.6402467744,"RLY"
"9100COLSDNS","Coulsdon South Rail Station",529870,159060,-0.1378872138,51.3158381493,"RLY"
"9100COLSTWN","Coulsdon Town Rail Station",530091,159756,-0.1344641509,51.3220426429,"RLY"
"9100BORNEND","Bourne End Rail Station",489456,187260,-0.7104734601,51.5771179015,"RLY"
"9100BORWGAW","Borough Green & Wrotham Rail Station",560898,157424,0.30624506129,51.2932192433,"RLY"
"9100BOWESPK","Bowes Park Rail Station",530245,191470,-0.1205818738,51.607011879,"RLY"
"9100BOXHAWH","Box Hill & Westhumble Rail Station",516744,151865,-0.3284898749,51.2540118533,"RLY"
"9100KENTHOS","Kent House Rail Station",536040,169945,-0.0452473692,51.4122152159,"RLY"
"9100SNGT","Stonegate Rail Station",565892,127169,0.36386821978,51.0199677155,"RLY"
"9100SNODLND","Snodland Rail Station",570660,161860,0.44824133528,51.3302307131,"RLY"
"9100LIVST","London Liverpool Street Rail Station",533216,181641,-0.0814259439,51.5179910298,"RLY"
"9100WDMNSTR","Woodmansterne Rail Station",528720,159385,-0.1542620487,51.3190200375,"RLY"
"9100WDON","Wimbledon Rail Station",524810,170660,-0.2063850716,51.4212218672,"RLY"
"9100WDRYTON","West Drayton Rail Station",506120,180120,-0.4722342353,51.5100549217,"RLY"
"9100WDST","Wood Street Rail Station",538490,189415,-0.0024053172,51.5865804106,"RLY"
"9100WDULWCH","West Dulwich Rail Station",532750,173030,-0.0913714313,51.4407179294,"RLY"
"9100WDWTOWN","Wandsworth Town Rail Station",525970,175120,-0.1881254027,51.4610477955,"RLY"
"9100WEALING","West Ealing Rail Station",516666,180735,-0.320133207,51.5135055096,"RLY"
"9100QPRK","Queens Park (London) Rail Station",524600,183200,-0.2049847769,51.5339661708,"RLY"
"9100QTRDBAT","Queenstown Road (Battersea) Rail Station",528810,176740,-0.1466781393,51.4749678755,"RLY"
"9100RADLETT","Radlett Rail Station",516427,199832,-0.3172437011,51.685187984,"RLY"
"9100SNDP","Sundridge Park Rail Station",540673,170245,0.02144640977,51.4137815728,"RLY"
"9100MWRWSTN","Meridian Water Rail Station",535061,191940,-0.0508976608,51.610101878,"RLY"
"9100SOLEST","Sole Street Rail Station",565583,167583,0.37809701189,51.3831455589,"RLY"
"9100SPHS","Staplehurst Rail Station",578392,144450,0.55043851131,51.1714674389,"RLY"
"9100SRUISLP","South Ruislip Rail Station",511070,185440,-0.3992590699,51.5569202804,"RLY"
"9100STAINES","Staines Rail Station",504150,171446,-0.5031644531,51.4324554101,"RLY"
"9100STALBCY","St Albans City Rail Station",515549,207076,-0.3275382272,51.7504731565,"RLY"
"9100STALBNA","St Albans Abbey Rail Station",514526,206414,-0.342568644,51.7447334028,"RLY"
"9100EDNB","Edenbridge Rail Station",544040,147487,0.06064634772,51.2084356181,"RLY"
"9100EDNT","Edenbridge Town Rail Station",544522,146571,0.06717310341,51.2000827298,"RLY"
"9100EDPK","Eden Park Rail Station",537420,167520,-0.0263550769,51.3900910312,"RLY"
"9100SBURY","Southbury Rail Station",534840,196230,-0.0524368308,51.6487050407,"RLY"
"9100SCROYDN","South Croydon Rail Station",532830,164380,-0.0934565079,51.362964887,"RLY"
"9100SDBRYHH","Sudbury Hill Harrow Rail Station",515465,185710,-0.3358028123,51.5584653754,"RLY"
"9100SDBRYHR","Sudbury & Harrow Road Rail Station",516885,185290,-0.3154681356,51.55439847,"RLY"
"9100SDSD","Sanderstead Rail Station",532857,162747,-0.0936782258,51.3482832901,"RLY"
"9100MDNHEAD","Maidenhead Rail Station",488725,180745,-0.7226604448,51.5186689698,"RLY"
"9100PCKHMQD","Queens Road Peckham Rail Station",535020,176745,-0.0573134908,51.4735662223,"RLY"
"9100PCKHMRY","Peckham Rye Rail Station",534190,176330,-0.0694143312,51.4700341517,"RLY"
"9100BIRKBCK","Birkbeck Rail Station",535335,169000,-0.0557386582,51.4038915987,"RLY"
"9100PURFLET","Purfleet Rail Station",555417,178156,0.23676701853,51.4810133792,"RLY"
"9100PURLEY","Purley Rail Station",531470,161520,-0.1140353739,51.3375787075,"RLY"
"9100PURLEYO","Purley Oaks Rail Station",532500,162600,-0.098856071,51.3470455076,"RLY"
"9100PUTNEY","Putney Rail Station",524000,175100,-0.2164745358,51.4613026295,"RLY"
"9100RICHMND","Richmond (London) Rail Station",518085,175155,-0.3015583482,51.4630606231,"RLY"
"9100WNSTDPK","Wanstead Park Rail Station",540580,185590,0.02621307375,51.5516929548,"RLY"
"9100WOKING","Woking Rail Station",500660,158695,-0.5569596208,51.3184693495,"RLY"
"9100WOLWCDY","Woolwich Dockyard Rail Station",542740,178910,0.05464203127,51.4911270572,"RLY"
"9100WOLWCHA","Woolwich Arsenal Rail Station",543754,178803,0.06919399379,51.4899089361,"RLY"
"9100WONT","Walton-on-Thames Rail Station",510447,164956,-0.4146349593,51.3729310704,"RLY"
"9100LNGCROS","Longcross Rail Station",497897,166062,-0.5945699258,51.3851728383,"RLY"
"9100LONFLDS","London Fields Rail Station",534790,184260,-0.057753292,51.5411529817,"RLY"
"9100LRDGFD","London Road (Guildford) Rail Station",500264,150030,-0.5650688944,51.2406497101,"RLY"
"9100LSYDNHM","Lower Sydenham Rail Station",536830,171370,-0.033345404,51.4248307643,"RLY"
"9100LTCE","Letchworth Rail Station",521712,232758,-0.2292640819,51.9799640022,"RLY"
"9100LTNBZRD","Leighton Buzzard Rail Station",491091,225024,-0.6770072901,51.9163057679,"RLY"
"9100LUTOAPY","Luton Airport Parkway Rail Station",510533,220534,-0.3958809363,51.8724375568,"RLY"
"9100LUTON","Luton Rail Station",509259,221604,-0.4140401416,51.8823048507,"RLY"
"9100NWOLWCH","North Woolwich Rail Station",543280,179810,0.06277989677,51.4990776765,"RLY"
"9100HWYCOMB","High Wycombe Rail Station",486935,193053,-0.7454098119,51.6295859717,"RLY"
"9100HYDNSRD","Haydons Road Rail Station",526020,171160,-0.1888146313,51.4254479512,"RLY"
"9100PETSWD","Petts Wood Rail Station",544440,167550,0.07448093018,51.3886187947,"RLY"
"9100PITSEA","Pitsea Rail Station",573828,187585,0.50629313905,51.5603592233,"RLY"
"9100PKHMRYC","Peckham Rye Rail Station",534191,176330,-0.0693999427,51.4700339148,"RLY"
"9100PKST","Park Street Rail Station",514733,204274,-0.3402764912,51.7254582257,"RLY"
"9100PKWD","Paddock Wood Rail Station",567079,145272,0.38914870228,51.1822668027,"RLY"
"9100PLMS","Plumstead Rail Station",544800,178820,0.08425652445,51.4897950365,"RLY"
"9100MANRPK","Manor Park Rail Station",541973,185716,0.04634162174,51.5524766563,"RLY"
"9100MARDEN","Marden Rail Station",574375,144725,0.49316935061,51.1751758279,"RLY"
"9100MARLOW","Marlow Rail Station",485590,186512,-0.7664306995,51.5709934198,"RLY"
"9100MARYLBN","London Marylebone Rail Station",527550,182000,-0.1629108268,51.5225238825,"RLY"
"9100NEWSGAT","New Southgate Rail Station",528670,192220,-0.1430378315,51.6141135619,"RLY"
"9100ELMERSE","Elmers End Rail Station",535780,168411,-0.0495702664,51.3984923503,"RLY"
"9100ELMW","Elmstead Woods Rail Station",542250,170660,0.04427414538,51.4171176042,"RLY"
"9100ELPHNAC","Elephant & Castle Rail Station",532085,178945,-0.0987254952,51.4940287771,"RLY"
"9100HAYS","Hayes (Kent) Rail Station",540030,166060,0.01055679095,51.3763338507,"RLY"
"9100ASHD","Ashtead Rail Station",518040,159000,-0.3075716855,51.317873794,"RLY"
"9100ASHH","Ash Rail Station",489934,150834,-0.7128053872,51.2495973162,"RLY"
"9100HTRWTM4","Heathrow Terminal 4 Rail Station",508100,174400,-0.4454633963,51.4582676551,"RLY"
"9100HTRWTM5","Heathrow Terminal 5 Rail Station",504938,175645,-0.4905889665,51.4700525504,"RLY"
"9100SEVNSIS","Seven Sisters Rail Station",533455,188800,-0.0752700179,51.5822677074,"RLY"
"9100SGFORD","South Greenford Rail Station",515465,182960,-0.3367043266,51.5337494785,"RLY"
"9100SHADWEL","Shadwell Rail Station",534935,180940,-0.0569342908,51.5112840323,"RLY"
"9100SHALFD","Shalford (Surrey) Rail Station",500200,147100,-0.566803701,51.2143229732,"RLY"
"9100HEDSTNL","Headstone Lane Rail Station",513870,190590,-0.3572197641,51.6026489868,"RLY"
"9100HEMLHMP","Hemel Hempstead Rail Station",504300,205925,-0.4907737433,51.7423329769,"RLY"
"9100HERNEH","Herne Hill Rail Station",531955,174410,-0.102289092,51.4533050369,"RLY"
"9100HERSHAM","Hersham Rail Station",512155,165425,-0.389959186,51.3768120464,"RLY"
"9100EDMNGRN","Edmonton Green Rail Station",534310,193570,-0.0611124129,51.6249287573,"RLY"
"9100RCTRYRD","Rectory Road Rail Station",534010,186170,-0.0682668768,51.5585023293,"RLY"
"9100RDLSDWN","Riddlesdown Rail Station",532505,160980,-0.0993866248,51.3324857941,"RLY"
"9100REDHILL","Redhill Rail Station",528128,150600,-0.1658998783,51.2402011257,"RLY"
"9100DRAYGRN","Drayton Green Rail Station",515960,181065,-0.3301941741,51.5166166225,"RLY"
"9100LETHRHD","Leatherhead Rail Station",516300,156840,-0.3332318989,51.2988178163,"RLY"
"9100LEWISHM","Lewisham Rail Station",538050,175950,-0.0140243397,51.4656917407,"RLY"
"9100OCKENDN","Ockendon Rail Station",559003,182828,0.29046917422,51.5219921102,"RLY"
"9100OCKLYAC","Ockley Rail Station",516477,140455,-0.336013632,51.1515119578,"RLY"
"9100OKLGHPK","Oakleigh Park Rail Station",527000,194800,-0.1662093291,51.6376780151,"RLY"
"9100OLDST","Old Street Rail Station",532700,182500,-0.0885350878,51.5258317066,"RLY"
"9100NUNHEAD","Nunhead Rail Station",535390,176005,-0.052272611,51.4668280152,"RLY"
"9100NUTFILD","Nutfield Rail Station",530495,149170,-0.1325312443,51.2268135741,"RLY"
"9100THBDGS","Three Bridges Rail Station",528800,136900,-0.1611840033,51.1169237509,"RLY"
"9100THBLDSG","Theobalds Grove Rail Station",535927,201128,-0.0348312997,51.6924565535,"RLY"
"9100TOLWTH","Tolworth Rail Station",519845,165605,-0.279461392,51.3768602215,"RLY"
"9100TONBDG","Tonbridge Rail Station",558789,146027,0.27097313924,51.191411268,"RLY"
"9100TOOTING","Tooting Rail Station",527950,170585,-0.1612776538,51.419848439,"RLY"
"9100STOTNHM","South Tottenham Rail Station",533680,188595,-0.0721025934,51.5803722535,"RLY"
"9100STPADOM","London St Pancras International Rail Station",530050,183175,-0.1264633895,51.5325135782,"RLY"
"9100AYLESFD","Aylesford Rail Station",572017,158687,0.46617068355,51.301317844,"RLY"
"9100CHDNGTN","Cheddington Rail Station",492232,218549,-0.6621517866,51.8579182438,"RLY"
"9100DRKGW","Dorking West Rail Station",515987,149869,-0.3399784824,51.2362259747,"RLY"
"9100WHAM","West Ham Rail Station",539140,182860,0.00437929318,51.5275181048,"RLY"
"9100WHAMHL","West Ham Rail Station",539210,182970,0.00543114953,51.528489318,"RLY"
"9100ALDRSHT","Aldershot Rail Station",486656,150424,-0.7598597989,51.2464183771,"RLY"
"9100ALEXNDP","Alexandra Palace Rail Station",530295,190460,-0.1202351393,51.5979239959,"RLY"
"9100ESSEXRD","Essex Road Rail Station",532120,184140,-0.0962759782,51.5407053442,"RLY"
"9100ESTFLDS","Mitcham Eastfields Rail Station",528445,169250,-0.1546459563,51.4077390504,"RLY"
"9100ETCHNGM","Etchingham Rail Station",571431,126301,0.44235637924,51.0105461655,"RLY"
"9100ETILBRY","East Tilbury Rail Station",567634,178969,0.41292789242,51.4848313576,"RLY"
"9100EUSTON","London Euston Rail Station",529545,182675,-0.1339235556,51.5281362444,"RLY"
"9100EWELLE","Ewell East Rail Station",522569,162158,-0.2415295604,51.3452995455,"RLY"
"9100EWELW","Ewell West Rail Station",521480,162660,-0.2569865415,51.3500448603,"RLY"
"9100PNDRSEN","Ponders End Rail Station",536060,195545,-0.0350803848,51.6422560371,"RLY"
"9100PNGEE","Penge East Rail Station",535395,170720,-0.0542204536,51.4193339223,"RLY"
"9100PNSHRST","Penshurst Rail Station",551957,146480,0.17347226859,51.1973376145,"RLY"
"9100WELHAMG","Welham Green Rail Station",523653,205697,-0.2106916736,51.7363521708,"RLY"
"9100WELLING","Welling Rail Station",546090,176075,0.10168964098,51.4647984809,"RLY"
"9100ALBNYPK","Albany Park Rail Station",547855,172860,0.12573715609,51.435452655,"RLY"
"9100KEWBDGE","Kew Bridge Rail Station",519020,178120,-0.2871075504,51.4895128582,"RLY"
"9100KEWGRDN","Kew Gardens Rail Station",519195,176740,-0.2850535141,51.4770733418,"RLY"
"9100KGSTON","Kingston Rail Station",518242,169561,-0.301165709,51.4127512459,"RLY"
"9100KGWD","Kingswood Rail Station",524815,156585,-0.2112474821,51.2947247232,"RLY"
"9100KIDBROK","Kidbrooke Rail Station",540945,175632,0.02749762513,51.4621212961,"RLY"
"9100LEYTNMR","Leyton Midland Road Rail Station",538150,187530,-0.008050551,51.5697253651,"RLY"
"9100LGFD","Longfield Rail Station",560129,168857,0.30036424222,51.3961552451,"RLY"
"9100LHVN","Littlehaven Rail Station",518621,132520,-0.3079804586,51.0797512331,"RLY"
"9100LIMHSE","Limehouse Rail Station",536120,181111,-0.0398027844,51.5125366934,"RLY"
"9100LINGFLD","Lingfield Rail Station",539400,143800,-0.0071645465,51.1764527729,"RLY"
"9100LNDNBDC","London Bridge Rail Station",532930,180190,-0.0860920048,51.5050190405,"RLY"
"9100LNDNBDE","London Bridge Rail Station",532930,180200,-0.0860882393,51.5051089049,"RLY"
"9100SHLIER","St Helier (London) Rail Station",525425,167190,-0.1987706701,51.3899008048,"RLY"
"9100NBARNET","New Barnet Rail Station",526500,196000,-0.1729970807,51.6485745809,"RLY"
"9100NBCKNHM","New Beckenham Rail Station",536720,170470,-0.0352734259,51.4167696211,"RLY"
"9100NDULWCH","North Dulwich Rail Station",532950,174570,-0.0879174727,51.4545103304,"RLY"
"9100BRKMNPK","Brookmans Park Rail Station",524119,204007,-0.20454865,51.7210617644,"RLY"
"9100SELHRST","Selhurst Rail Station",533105,167610,-0.0882998975,51.3919274416,"RLY"
"9100SHPDSB","Shepherds Bush Rail Station",523799,179989,-0.2176540384,51.5052847106,"RLY"
"9100SHRDHST","Shoreditch High Street Rail Station",533629,182251,-0.0752461012,51.5233752488,"RLY"
"9100ROYDON","Roydon Rail Station",540582,210496,0.036251791,51.7754867387,"RLY"
"9100RTHERHI","Rotherhithe Rail Station",535305,179785,-0.0520484962,51.5008165093,"RLY"
"9100RTHERI","Rotherhithe Rail Station",535305,179785,-0.0520484962,51.5008165093,"RLY"
"9100RYEHOUS","Rye House Rail Station",538488,209762,0.00562825292,51.7694129116,"RLY"
"9100SACTON","South Acton Rail Station",520170,179280,-0.2701571908,51.4996952271,"RLY"
"9100SALFDS","Salfords (Surrey) Rail Station",528473,146330,-0.1624891011,51.2017479975,"RLY"
"9100WRCSTRP","Worcester Park Rail Station",522220,166150,-0.2451672322,51.3812525571,"RLY"
"9100SBRMNDS","South Bermondsey Rail Station",535160,178370,-0.0546776556,51.4881355768,"RLY"
"9100EDULWCH","East Dulwich Rail Station",533440,175360,-0.0805716194,51.4614944798,"RLY"
"9100EFARLGH","East Farleigh Rail Station",573484,153607,0.48472904846,51.2552376811,"RLY"
"9100EFNGHMJ","Effingham Junction Rail Station",510271,155892,-0.4199653396,51.2914953354,"RLY"
"9100EGHAM","Egham Rail Station",501143,171073,-0.5465121523,51.4296467743,"RLY"
"9100STPX","London St Pancras International Rail Station",530000,183160,-0.1271893573,51.5323902832,"RLY"
"9100STPXBOX","London St Pancras International LL Rail Station",529990,183135,-0.1273426639,51.5321679183,"RLY"
"9100NEWXGTE","New Cross Gate Rail Station",536190,176950,-0.0403989121,51.4751282367,"RLY"
"9100WCOMBEP","Westcombe Park Rail Station",540245,178070,0.01839473787,51.4842027013,"RLY"
"9100WCROYDN","West Croydon Rail Station",532150,166083,-0.1025854706,51.378427754,"RLY"
"9100WDGRNPK","Woodgrange Park Rail Station",541850,185355,0.04442331118,51.5492637449,"RLY"
"9100SHRMKT","Shoreham (Kent) Rail Station",552587,161510,0.18888974054,51.3322186125,"RLY"
"9100SHRTLND","Shortlands Rail Station",539330,169320,0.00178410685,51.4058007425,"RLY"
"9100SIDCUP","Sidcup Rail Station",546335,172640,0.10379465578,51.4338701458,"RLY"
"9100SIVRST","Silver Street Rail Station",533916,192420,-0.0672399163,51.614688488,"RLY"
"9100NEWXGEL","New Cross Gate ELL Rail Station",536189,176950,-0.040413302,51.4751284772,"RLY"
"9100CUFFLEY","Cuffley Rail Station",530700,202800,-0.1097833319,51.7087217241,"RLY"
"9100COOKHAM","Cookham Rail Station",488690,185060,-0.7220789851,51.557462722,"RLY"
"9100SHMPSTD","South Hampstead Rail Station",526390,184075,-0.1788776915,51.5414321678,"RLY"
"9100STRETHM","Streatham Rail Station",530000,171300,-0.1315502567,51.4258080201,"RLY"
"9100STRHCOM","Streatham Common Rail Station",529710,170505,-0.1360097755,51.4187298814,"RLY"
"9100STRHILL","Streatham Hill Rail Station",530270,172685,-0.1271600347,51.4381927476,"RLY"
"9100ORPNGTN","Orpington Rail Station",545505,165875,0.08909054702,51.3732959821,"RLY"
"9100CMBLEY","Camberley Rail Station",487573,160441,-0.7442716314,51.3363276167,"RLY"
"9100CMDNRD","Camden Road Rail Station",529175,184185,-0.138700821,51.541790787,"RLY"
